Child's Play 2,"Horror, Thriller"
Inazuma Eleven Go vs. Danball Senki W,"Action, Adventure, Animation, Science Fiction"
Black Water,"Action, Thriller"
Legend,"Adventure, Fantasy"
Copshop,"Thriller, Crime, Action"
The Adventures of Pinocchio,"Family, Fantasy, Adventure, Drama, Music"
Hellbound: Hellraiser II,Horror
Flower,"Drama, Comedy"
Last Night in Soho,"Thriller, Horror, Mystery"
Pride and Prejudice and Zombies,"Romance, Horror, Comedy, Thriller"
Stormbreaker,"Adventure, Action, Family"
Mega Shark vs. Giant Octopus,"Horror, Science Fiction"
Of Gods and Men,"Drama, History"
No Escape Room,"Horror, Thriller, Mystery"
A Quiet Place Part II,"Science Fiction, Thriller, Horror"
Finding Dory,"Adventure, Animation, Comedy, Family"
Return of the Living Dead III,"Science Fiction, Horror"
Dr. Dolittle 2,"Comedy, Family, Romance, Fantasy"
High School Musical 3: Senior Year,"Comedy, Romance, Drama, Family, Music"
Into the Labyrinth,"Thriller, Mystery"
Consenting Adults,"Crime, Drama, Mystery"
Mean Girls 2,Comedy
The Duellists,"Drama, War"
Caddyshack,Comedy
Kung Fu Jungle,"Crime, Action, Thriller"
RockNRolla,"Action, Crime, Thriller"
Sleeping With My Student,"Thriller, TV Movie"
So Undercover,"Action, Comedy"
Thunder Force,"Action, Adventure, Comedy, Science Fiction"
Ghost Dog: The Way of the Samurai,"Crime, Drama"
Superman vs. The Elite,"Science Fiction, Animation, Action"
Seven Minutes,Comedy
102 Dalmatians,"Family, Comedy"
The Raid 2,"Action, Crime, Thriller"
The Girl on the Train,"Crime, Drama, Mystery, Thriller"
The Miseducation of Cameron Post,Drama
Last Night in Soho,"Thriller, Horror, Mystery"
Fast Times at Ridgemont High,Comedy
Before Sunset,"Drama, Romance"
Free Solo,"Documentary, Adventure"
Mystery Men,"Adventure, Fantasy, Action, Comedy, Science Fiction"
Ladybug & Cat Noir: Awakening,"Action, Animation, Adventure, Fantasy, Music"
The Way,"Adventure, Comedy, Drama"
Tristan & Isolde,"Drama, Romance, Adventure, Action"
30 Miles from Nowhere,"Horror, Comedy"
Cosmoball,"Science Fiction, Adventure"
Rise: Blood Hunter,"Action, Adventure, Horror, Thriller"
The Maltese Falcon,"Mystery, Crime, Thriller"
The Black Cauldron,"Animation, Adventure, Family"
Harriet,"Drama, History"
Closed Circuit,"Mystery, Drama, Crime, Thriller"
Jakob the Liar,"Comedy, Drama, History"
Halo Legends,"Animation, War, Drama"
Fate/stay night: Heaven's Feel III. Spring Song,"Animation, Romance, Fantasy, Action, Drama"
Equilibrium,"Action, Science Fiction, Thriller"
Nightmare Alley,"Drama, Crime"
We Are Marshall,"Drama, History"
Blue Jasmine,Drama
Visitor Q,"Comedy, Drama, Horror, Thriller"
Pet Sematary II,Horror
You Got Served,"Music, Drama"
Naruto Bersyukur,Drama
Nope,"Horror, Mystery, Science Fiction, Thriller"
My Little Pony: A New Generation,"Animation, Family, Fantasy, Comedy, Music, Adventure"
The Blue Lagoon,"Romance, Adventure"
Blue Exorcist: The Movie,"Animation, Fantasy, Mystery, Horror, Action"
This Is It,"Music, Documentary"
Liar Liar,Comedy
Swing Kids,"Music, Drama"
The Fourth Kind,"Mystery, Science Fiction, Thriller"
